GVKEY,LIID,datadate,fyear,conm,adrr,fic
015852,01,19911231,1991,MEDICAL INNOVATIONS INC,,USA
015853,01,19900331,1989,HUDSON HOTELS CP,,USA
015853,01,19910331,1990,HUDSON HOTELS CP,,USA
015854,01,19901231,1990,REXHALL INDUSTRIES INC,,USA
015854,01,19911231,1991,REXHALL INDUSTRIES INC,,USA
015855,01,19900331,1989,NORTONLIFELOCK INC,,USA
015855,01,19910331,1990,NORTONLIFELOCK INC,,USA
015856,01,19901231,1990,UNITY HEALTHCARE HLDG CO,,USA
015857,01,19900331,1989,XSIRIUS SUPERCONDUCT  -CL A,,USA
015857,01,19910331,1990,XSIRIUS SUPERCONDUCT  -CL A,,USA
015858,01,19900430,1989,ADVANTAGE LIFE PRODUCTS,,USA
015858,01,19910430,1990,ADVANTAGE LIFE PRODUCTS,,USA
015859,01,19901231,1990,CONSULIER ENGINEERING INC,,USA
015859,01,19911231,1991,CONSULIER ENGINEERING INC,,USA
015944,01,19901231,1990,COMPTRONIX CORP,,USA
015944,01,19911231,1991,COMPTRONIX CORP,,USA
016157,01,19900331,1989,21ST CENTURY FILM CORP,,USA
016159,01,19901231,1990,KELLER INDUSTRIES LTD,,GBR
016162,01,19900531,1989,NIX O TINE PHARMACEUTICALS,,CAN
016188,01,19901231,1990,COGNEX CORP,,USA
016188,01,19911231,1991,COGNEX CORP,,USA
016224,01,19900630,1990,ANCHOR BANCORP INC/NY,,USA
016224,01,19910630,1991,ANCHOR BANCORP INC/NY,,USA
016226,01,19901231,1990,CSF HOLDINGS INC,,USA
016226,01,19911231,1991,CSF HOLDINGS INC,,USA
016227,01,19900630,1990,COMMERCIAL FEDERAL CORP,,USA
016227,01,19910630,1991,COMMERCIAL FEDERAL CORP,,USA
016229,01,19900930,1990,FORTUNE BANCORP,,USA
016229,01,19910930,1991,FORTUNE BANCORP,,USA
016231,01,19901231,1990,FARM & HOME SAVINGS ASSN,,USA
016231,01,19911231,1991,FARM & HOME SAVINGS ASSN,,USA
016232,01,19901231,1990,GREAT LAKES BANCORP,,USA
016232,01,19911231,1991,GREAT LAKES BANCORP,,USA
016233,01,19901231,1990,GREATER NEW YORK SAVINGS,,USA
016233,01,19911231,1991,GREATER NEW YORK SAVINGS,,USA
016238,01,19901130,1990,RCSB FINANCIAL INC,,USA
016238,01,19911130,1991,RCSB FINANCIAL INC,,USA
016239,01,19901231,1990,ST PAUL BANCORP INC,,USA
016239,01,19911231,1991,ST PAUL BANCORP INC,,USA
016240,01,19901231,1990,SOCIETY FOR SAVINGS BANCORP,,USA
016240,01,19911231,1991,SOCIETY FOR SAVINGS BANCORP,,USA
016241,01,19901231,1990,SFFED CORP,,USA
016241,01,19911231,1991,SFFED CORP,,USA
016243,01,19901231,1990,WASHINGTON MUTUAL INC,,USA
016243,01,19911231,1991,WASHINGTON MUTUAL INC,,USA
016245,01,19901231,1990,PEOPLE'S UNITED FINL INC,,USA
016245,01,19911231,1991,PEOPLE'S UNITED FINL INC,,USA
016270,01,19901231,1990,AMERICAN CREDIT OPTICAL/DE,,USA
016273,01,19901231,1990,GLOBAL A INC,,USA
016280,01,19901231,1990,WESTCOTT COMMUNICATIONS,,USA
016280,01,19911231,1991,WESTCOTT COMMUNICATIONS,,USA
016284,01,19901231,1990,HARBOURTON FINANCIAL CORP,,USA
016284,01,19911231,1991,HARBOURTON FINANCIAL CORP,,USA
016394,01,19901231,1990,AM-CH INC,,USA
016394,01,19911231,1991,AM-CH INC,,USA
016395,01,19900930,1990,BALI JEWELRY LTD,,USA
016395,01,19910930,1991,BALI JEWELRY LTD,,USA
016401,01,19900331,1989,CIRRUS LOGIC INC,,USA
016401,01,19910331,1990,CIRRUS LOGIC INC,,USA
016402,01,19900630,1990,NATIONAL HERITAGE INDUSTRIES,,USA
016402,01,19910630,1991,NATIONAL HERITAGE INDUSTRIES,,USA
016405,01,19901231,1990,TELTRONICS INC,,USA
016405,01,19911231,1991,TELTRONICS INC,,USA
016406,01,19901231,1990,GALVEST INC,,USA
016406,01,19911231,1991,GALVEST INC,,USA
016407,01,19901231,1990,MENTORTECH INC,,USA
016407,01,19911231,1991,MENTORTECH INC,,USA
